id,transaction_id,product_id,product_name,description,quantity,cost
87,TXN0043,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",2,29.99
88,TXN0044,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",3,19.99
89,TXN0044,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
90,TXN0044,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
91,TXN0045,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",3,89.99
92,TXN0045,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",3,29.99
93,TXN0045,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",3,24.99
94,TXN0046,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",2,24.99
95,TXN0047,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
96,TXN0047,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",2,19.99
97,TXN0047,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",2,39.99
98,TXN0048,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
99,TXN0048,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",2,34.99
100,TXN0049,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
101,TXN0049,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
102,TXN0050,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
103,TXN0051,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
104,TXN0052,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",2,29.99
105,TXN0052,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
106,TXN0052,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
107,TXN0053,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",2,24.99
108,TXN0053,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
109,TXN0053,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",2,79.99
110,TXN0054,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",1,34.99
111,TXN0054,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",2,19.99
112,TXN0054,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",3,79.99
113,TXN0054,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
114,TXN0055,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
115,TXN0056,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",2,14.99
116,TXN0057,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",1,24.99
117,TXN0057,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
118,TXN0058,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
119,TXN0059,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",2,89.99
120,TXN0059,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
121,TXN0060,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
122,TXN0061,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
123,TXN0061,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
124,TXN0061,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",3,99.99
125,TXN0062,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
126,TXN0062,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",3,79.99
127,TXN0062,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",3,89.99
128,TXN0063,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
129,TXN0063,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
130,TXN0064,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
131,TXN0064,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
132,TXN0064,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
133,TXN0064,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
134,TXN0065,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
135,TXN0065,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
136,TXN0065,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",2,99.99
137,TXN0066,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
138,TXN0066,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",3,39.99
139,TXN0067,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
140,TXN0067,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",1,34.99
141,TXN0068,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
142,TXN0069,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",3,79.99
143,TXN0069,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
144,TXN0070,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",2,79.99
145,TXN0070,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
146,TXN0071,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",3,49.99
147,TXN0072,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
148,TXN0072,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",1,24.99
149,TXN0072,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",3,39.99
150,TXN0073,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",2,34.99
151,TXN0073,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",3,29.99
152,TXN0074,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
153,TXN0074,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",3,24.99
154,TXN0074,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
155,TXN0075,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",2,99.99
156,TXN0076,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
157,TXN0076,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",1,34.99
158,TXN0077,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",3,24.99
159,TXN0077,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
160,TXN0077,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",3,19.99
161,TXN0078,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",2,99.99
162,TXN0079,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
163,TXN0079,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",1,34.99
164,TXN0079,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",2,19.99
165,TXN0080,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",3,34.99
166,TXN0081,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
167,TXN0081,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",3,19.99
168,TXN0081,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
169,TXN0082,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",1,24.99
170,TXN0082,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",2,29.99
171,TXN0082,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
172,TXN0083,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
173,TXN0083,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",3,14.99
174,TXN0084,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
175,TXN0084,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
176,TXN0085,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",2,99.99
177,TXN0085,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",3,39.99
178,TXN0086,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",1,24.99
179,TXN0086,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
180,TXN0086,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
181,TXN0087,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
182,TXN0088,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",2,99.99
183,TXN0088,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",2,14.99
184,TXN0088,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
185,TXN0089,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
186,TXN0089,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",3,19.99
187,TXN0089,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",2,79.99
188,TXN0090,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",2,39.99
189,TXN0091,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
190,TXN0091,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",3,89.99
191,TXN0092,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",3,14.99
192,TXN0092,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
193,TXN0092,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
194,TXN0093,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",2,89.99
195,TXN0093,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",3,99.99
196,TXN0094,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
197,TXN0094,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",2,34.99
198,TXN0095,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",2,34.99
199,TXN0095,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
200,TXN0095,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
